start,text
2.379,Welcome to Vj Siddhu Vlogs.
5.313,Nail it.
5.949,"If you see where the three of us are heading to is.., why?"
9.517,"He is going to play an instrument in marriage, that's why this action."
15.119,What music is this? this is new music.
16.522,I've kept it for the next one.
17.678,"I am from a singer family, dude."
19.91,"Singing, dancing, all this comes naturally to me."
23.283,I was thinking of giving you an opportunity.
25.149,First you lifted a water can right? Now in this song you will lift a sand sack.
35.502,"Sorry, I will do choreography for this song, you might have done this step for water can song,"
38.706,"For sand sack, it's different."
40.198,"For sand sack, he will pour the sand and put it like this."
42.722,"You should catch it, and after catching,"
46.964,This looks like holding a baby.
51.436,"Will you give sittal? We will give you sittal, but no ladies."
53.648,You sang that you have become a singing family.
55.601,What did you do? It's stinking.
57.057,"Mic is very important for singer.., You have kept the mic somewhere and then you brought it here."
60.313,"Not me, bro, he used indie mint, bro, not me."
63.852,"See, I kept my hands to myself, only he,"
65.408,"So, if you stretch out your hand,"
67.254,I know that someone is stretching their hand and it's stinking.
70.785,"Bro he is all into technology, he uses only vape."
73.398,Smoking is injurious to health.
76.605,Which means we will die.
82.287,"So, don't get into all that stuff"
83.744,"In a small shop near my home, people used to do this."
85.941,You know what I did?
87.162,He asked them to give it to him illegally and then sold it.
91.126,"I went and here was the shop,"
93.462,Hey! give it!
94.203,No No.
96.591,Will you do this in our area?
99.127,That too when I am here.
100.529,We have decided that we don't need SFX anymore when we bring Sheriff.
104.348,Because here we have the second SFX.
105.748,"No no, from now on we won't be keeping the laughing SFX."
110.062,This will always be there.
111.166,Did you see? No matter which series we do.
113.625,"Sometimes when it gets annoying, we will change into montage."
116.612,"Okay leave that, bro, we started from music and where have we gone."
118.958,"That is a human's life, bro."
120.639,*Sings a tamil song*
124.572,"Mgr is lifting the sand sack.., that's it whoever can join.., next Nambiar."
130.086,You left my man!
136.974,"Do you know to which place we are going to right now? Kambham,"
139.325,Which Kambham bro? Is it an electric pole?
141.124,"If I leave some space after saying that, he must have grabbed that opportunity."
144.627,"Bro, I have a surprise for the both of you."
146.738, It's truly a surprise and I won't tell it now.
149.538,Someone is going to join us.
151.71,"He is very talented, intelligent and a very trending person."
156.64,"Trend? Whoever may come, guys."
158.516,"Whoever can  join us in this trip, if you want to know who that is, keep watching this video."
163.238,We are going to Kambam because it's our friends marriage.
166.635,"It's happening in Kambam, he usually lifts his leg whenever he sees Kambam."
169.491,Now the marriage itself is in Kambam.
171.027,He will marry only by lifting his leg.
183.07,"Why have you stopped, brother?"
185.07,"I don't know man, he only asked me to stop."
186.475,The celebrity has asked me to come here.
188.501,"Tell us who that is, bro."
191.077,"You have waited for so long, at least give us a clue."
193.431,"Clue, clue.., is it ladies or gents?"
195.182,"How will he ask ladies to come, bro? If he did, I would be happy."
200.268,Is it Thalapathy?
204.656,Hip Hop Adhi?
206.656,"Yes bro, he was also talking downstairs,"
208.636,"That he likes Harshath, he makes good jokes and Vj Siddhu is also going well."
211.749,Only now I am doubtful.
212.736,"Harshath is making videos, that is fine, He does comedy, but it doesn't come naturally."
216.704,"I know, bro! Is this the terrace party, season 2?"
220.273,From now on it will happen in car and the party is inside the car.
222.728,Celebrity with car.
224.711,"Sorry, car with celebrity.., Car parking, like terrace, it's car parking."
229.934,"That's okay, the both of you are talking very hilariously."
232.947,"Okay, tell us which genre he is.., which genre huh?"
236.014,All genres!
237.924,"Acting, reacting,"
240.706,Is it Diwakar?
243.32,( Imitatiting Diwakar )
245.195,You shouldn't tease anyone at all.
248.251,Shall I put up your old videos?
251.432,"Every video, friends..,"
253.009,"In this video he is making fun of someone else's acting, have you seen his acting?"
260.391,You know what he did earlier right? They invited him as a guest in Dubai and he landed in a helicopter.
264.255,"You are aware of that, right?"
265.315,"Even I am also performing, but no one is inviting.., they will invite you only for Oyo considering the kind of things that you do."
274.852,Celebrity on the way.
276.913,He is coming.
278.883,"How will a celebrity come by walking, that doesn't make sense."
280.722, What is here? Airport!
284.837,"Our celebrity has come! Where, bro?"
290.252,Is he a celebrity?
293.321,"How? Oh, him?"
